bank_name,debit_transactions,debit_amount,credit_transactions,credit_amount,month
ROYAL BANK OF SCOTLAND N.V,246334,36941.071,92116,30590.856,February 2015
SAHEBRAO DESHMUKH CO-OP BANK,1345,125.357,2325,144.869,February 2015
VARACHHA CO-OP BANK,1930,163.940,3896,260.996,February 2015
VISHWESHWAR SAHAKARI BANK,3047,504.348,4906,322.102,February 2015
ZOROASTRIAN CO-OP BANK,81,33.888,8,2.427,February 2015
TUMKUR GRAIN MERCHANTS CO-OP BANK,1580,156.012,962,90.020,February 2015
GADCHIROLI DIST CO-OP BANK,1581,42.335,34598,63.455,February 2015
UCO BANK,330826,34739.590,923789,37346.775,February 2015
UNION BANK OF INDIA,1206207,67998.675,2952533,121085.929,February 2015
UNITED BANK OF INDIA,1237125,24946.914,2016499,28597.585,February 2015
UNITED OVERSEAS BANK,84,10.898,30,16.369,February 2015
VASAI VIKAS SAHAKARI BANK,1429,87.334,2748,163.525,February 2015
VIJAYA BANK,245019,22346.172,564265,29504.164,February 2015
WEST BENGAL STATE CO-OP BANK,10210,357.043,39106,596.514,February 2015
WESTPAC BANKING CORP,230,25.301,5,105.171,February 2015
WOORI BANK,420,92.901,158,193.668,February 2015
YES BANK,2085171,78866.853,616792,76857.632,February 2015
ZILA SAHKARI BANK GHAZIABAD,432,66.104,1892,107.963,February 2015
ABHYUDAYA CO-OP BANK,28568,2049.716,80205,3239.286,March 2015
ABU DHABI COMMERCIAL BANK,2400,1250.038,821,705.988,March 2015
AHMEDABAD MERCANTILE CO-OP BANK,4894,380.883,12866,790.149,March 2015
AKOLA DIST CENTRAL CO-OP BANK,2802,627.804,9997,123.234,March 2015
ALLAHABAD BANK,2290570,62970.943,3965627,132445.625,March 2015
ALMORA URBAN CO-OP BANK,8238,236.487,11806,791.016,March 2015
ANDHRA BANK,487153,57099.339,1750402,107492.305,March 2015
ANDHRA PRAGATHI GRAMEENA BANK,14791,1311.761,43690,1379.461,March 2015
ANZ BANKING GROUP,38717,7737.824,1893,4060.574,March 2015
APANA SAHAKARI BANK,6306,402.838,10939,727.886,March 2015
AXIS BANK,6961190,465250.883,4194973,412253.534,March 2015
AKOLA JANATA COMMERCIAL CO-OP BANK,3014,295.480,2359,428.042,March 2015
BANK N PARIBAS,268688,66879.170,103667,63296.283,March 2015
BANK INTERNASIONAL INDONESIA,671,261.464,23,4.789,March 2015
BANK OF AMERICA,468007,48159.252,60242,30443.320,March 2015
BANK OF BAHARIEN AND KUWAIT,37717,1878.753,1228,174.022,March 2015
BANK OF BARODA,1329010,108248.850,5910108,218124.220,March 2015
BANK OF CEYLON,841,36.193,238,83.150,March 2015
BANK OF INDIA,1133718,73681.516,5809567,183179.930,March 2015
BANK OF MAHARASHTRA,472114,37928.679,1508675,64106.640,March 2015
BANK OF NOVA SCOTIA,4020,1673.896,1051,2953.200,March 2015
BANK OF TOKYO AND MITSUBISHI,27094,7355.972,3941,10756.690,March 2015
BARCLAYS BANK,60270,11037.082,1701,4166.785,March 2015
BASSEIN CATHOLIC CO-OP BANK,5811,479.661,17017,911.673,March 2015
BHARAT CO-OP BANK,29263,2602.516,47734,3460.880,March 2015
BHARATIYA MAHILA BANK,2131,143.340,2292,413.501,March 2015
CANARA BANK,1451468,105002.536,3284859,188467.483,March 2015
CAPITAL LOCAL AREA BANK,5436,366.440,5924,360.970,March 2015
CATHOLIC SYRIAN BANK,63047,5195.650,104175,5293.800,March 2015
CENTRAL BANK OF INDIA,2041962,66224.110,3434556,127554.989,March 2015
CITI BANK,4353178,480992.891,1461735,325302.835,March 2015
CITIZEN CREDIT CO-OP BANK,3680,286.334,10721,739.190,March 2015
CITY UNION BANK,448566,18960.338,316566,16206.728,March 2015
COMMONWEALTH BANK OF AUSTRALIA,542,37.576,89,82.597,March 2015
CORP BANK,863686,54672.228,1460518,116522.287,March 2015
COSMOS CO-OP BANK,45595,6153.672,103383,6974.938,March 2015
CREDIT AGRICOLE CORP AND INVESTMENT BANK,1764,915.449,151,1581.729,March 2015
CREDIT SUISSE AG,67,9.028,7,45.344,March 2015
CTBC BANK CO-OP,172,36.609,113,140.380,March 2015
DCB BANK,170443,5902.728,81777,9592.881,March 2015
DELHI STATE CO-OP OP BANK,785,41.649,1176,65.842,March 2015
DENA BANK,239390,24396.542,758791,52966.060,March 2015
DEUTSCHE BANK,1621803,188203.600,468645,169515.064,March 2015
DEVELOPMENT BANK OF SINGAPORE,193448,46198.128,13918,14368.326,March 2015
DHANLAXMI BANK,137676,6317.191,131024,6361.869,March 2015
DICGC BANK,49,4.148,29,2.016,March 2015
DOMBIVLI NAGRIK SAHAKARI BANK,7173,1029.870,19333,1290.284,March 2015
FEDERAL BANK,1005376,52770.692,728624,40456.572,March 2015
FIRSTRAND BANK,37889,1505.632,2204,252.795,March 2015
GOPINATH PATIL PARSIK JAN SAHA BANK,5004,1627.399,17545,758.638,March 2015
GREATER BOMBAY CO-OP BANK,5104,380.902,15189,731.607,March 2015
HDFC BANK,11290337,901238.229,7834788,947448.821,March 2015
HSBC BANK,1684968,223878.655,368710,128564.568,March 2015
HSBC BANK OMAN SAOG,247,35.361,115,11.221,March 2015
ICICI BANK,8067035,474169.543,6890314,534339.625,March 2015
IDBI BANK,2688972,143971.369,1840833,238968.324,March 2015
INDIAN BANK,733307,41999.103,2057627,90084.759,March 2015
INDIAN OVERSEAS BANK,1787083,79882.506,2153427,105194.329,March 2015
INDUSIND BANK,1107493,96102.290,364118,57794.513,March 2015
INDUSTRIAL AND CO-OP BANK OF CHINA,192,433.526,64,170.475,March 2015
ING VYSYA BANK,831206,58329.865,517714,56833.099,March 2015
JALGAON JANATA SAHKARI BANK,4328,281.533,5390,525.022,March 2015
JALGAON PEOPLES CO-OP BANK,2465,166.419,3618,331.767,March 2015
JAMMU AND KASHMIR BANK,118260,9351.243,157796,15915.609,March 2015
JANAKALYAN SAHAKARI BANK,4930,535.658,16479,1022.896,March 2015
JANATA SAHAKARI BANK,11376,1032.843,30285,2055.488,March 2015
JANSEVA SAHAKARI BANK BORIVILI,1100,345.255,1533,121.713,March 2015
JANSEVA SAHAKARI BANK PUNE,2849,157.955,7704,389.702,March 2015
JP MORGAN BANK,488282,40893.027,4816,14039.500,March 2015
KALLAPPANNA AWADE IJSB,4623,274.448,5827,546.283,March 2015
KALUPUR COMM CO-OP BANK,8484,621.581,29138,2380.988,March 2015
KALYAN JANATA SAHAKARI BANK,4780,421.598,11684,571.024,March 2015
KAPOLE BANK,1310,134.317,6114,365.925,March 2015
KARAD URBAN CO-OP BANK,4365,422.924,8495,1979.502,March 2015
KARNATAKA BANK,212856,12220.373,486328,21835.670,March 2015
KARNATAKA STATE CO-OP APEX BANK,5131,200.371,6997,1575.327,March 2015
KARNATAKA VIKAS GRAMEEN BANK,41977,1734.854,319886,3204.509,March 2015
KARUR VYSYA BANK,500496,31985.607,606893,36265.653,March 2015
KOTAK MAHINDRA BANK,1880525,121990.361,958890,160791.590,March 2015
KURMANCHAL NAGAR SAHAKARI BANK,4110,408.414,5021,481.015,March 2015
KERALA GRAMIN BANK,32778,1392.338,283141,1879.255,March 2015
LAKSHMI VILAS BANK,119866,8215.671,162038,16448.981,March 2015
MAHANAGAR CO-OP BANK,4640,400.469,13224,744.303,March 2015
MAHARASHTRA STATE CO-OP BANK,1952,91.354,4946,1207.737,March 2015
MASHREQ BANK,463,630.910,31,5.025,March 2015
MEHSANA URBAN CO-OP BANK,8726,1167.532,11164,1309.634,March 2015
MIZUHO CORP BANK,6677,4140.598,1725,3304.128,March 2015
MUMBAI DIST CENTRAL CO-OP BANK,1112,62.660,8247,1105.647,March 2015
MUNICIPAL CO-OP BANK,233,395.439,2904,443.026,March 2015
NAGAR URBAN CO-OP BANK,4177,252.630,4125,147.302,March 2015
NAGPUR NAGRIK SAHAKARI BANK,5112,418.359,5502,603.156,March 2015
NAINITAL BANK,13443,968.409,28845,3135.171,March 2015
NATIONAL AUSTRALIA BANK,2,0.028,1,0.562,March 2015
NEW INDIA CO-OP BANK,7103,1099.169,15252,742.023,March 2015
NKGSB BANK,13825,1471.342,31580,1949.455,March 2015
NUTAN NAGARIK SAHAKARI BANK,3223,226.177,12708,685.518,March 2015
ORIENTAL BANK OF COMMERCE,643501,53246.172,1433891,91415.176,March 2015
PRATHAMA BANK,12071,6078.104,341297,2582.991,March 2015
PRIME CO-OP BANK SURAT,4734,351.385,4099,205.258,March 2015
PUNJAB AND MAHARASHTRA CO-OP BANK,19414,2460.671,52193,3812.241,March 2015
PUNJAB AND SIND BANK,84163,7441.302,320916,23987.493,March 2015
PUNJAB NATIONAL BANK,3671714,117009.640,6599676,301501.849,March 2015
PRAGATHI KRISHNA GRAMIN BANK,46865,2082.862,357288,3723.358,March 2015
RABOBANK INTERNATIONAL,610,3248.644,92,1104.152,March 2015
RAJGURUNAGAR SAHAKARI BANK,2302,162.620,1679,87.821,March 2015
RAJKOT NAGARIK SAHAKARI BANK,3258,227.708,8543,494.980,March 2015
RATNAKAR BANK,127084,12831.056,63179,12875.585,March 2015
RBI PAD,123720,283364.010,3068,50726.070,March 2015
SARASWAT CO-OP BANK,91960,8378.981,192170,12642.659,March 2015
SBER BANK,98,21.956,29,274.353,March 2015
SEVA VIKAS CO-OP BANK,2748,145.246,3806,399.278,March 2015
SHAMRAO VITHAL CO-OP BANK,55620,4365.431,92273,7234.684,March 2015
SHIKSHAK SAHAKARI BANK,328,46.559,131,27.993,March 2015
SHINHAN BANK,8963,1157.223,2358,3674.557,March 2015
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2498,146.963,1036,140.504,March 2015
SOCIETE GENERALE,1674,1873.976,132,1294.073,March 2015
SOLAPUR JANATA SAHAKARI BANK,1242,959.504,1545,315.845,March 2015
SOUTH INDIAN BANK,295189,22939.137,520476,24989.413,March 2015
STANDARD CHARTERED BANK,2036380,231347.434,711262,171009.512,March 2015
STATE BANK OF BIKANER AND JAIPUR,1059483,49157.724,696301,32974.576,March 2015
STATE BANK OF HYDERABAD,1929236,66270.945,1268455,79622.741,March 2015
STATE BANK OF INDIA,26906303,1441399.540,17867393,872111.892,March 2015
STATE BANK OF MAURITIUS,678,902.424,418,144.817,March 2015
STATE BANK OF MYSORE,1569939,30473.367,703652,32801.995,March 2015
STATE BANK OF PATIALA,1326243,41462.567,531212,34449.555,March 2015
STATE BANK OF TRAVANCORE,1174476,46103.715,995556,38110.963,March 2015
SUMITOMO MITSUI BANKING CORP,3578,764.378,116,1211.325,March 2015
SURAT DIST CO-OP BANK,6223,500.567,11313,325.699,March 2015
SURAT PEOPLES CO-OP BANK,4540,323.588,13931,813.713,March 2015
SUTEX CO-OP BANK,1636,146.860,5844,326.728,March 2015
SYNDICATE BANK,658225,65987.246,1869390,84387.713,March 2015
TAMIL NADU STATE APEX CO-OP BANK,13738,778.483,14216,1157.730,March 2015
TAMILNADU MERCANTILE BANK,205519,16702.215,276820,16248.696,March 2015
THANE BHARAT SAHAKARI BANK,1916,688.724,5900,738.384,March 2015
THANE DIST CENTRAL CO-OP BANK,6009,1051.832,14974,1213.537,March 2015
THANE JANATA SAHAKARI BANK,21881,1487.956,59336,3439.954,March 2015
A P MAHESH URBAN CO-OP BANK,4933,2158.808,8861,737.028,March 2015
AP STATE CO-OP BANK,10230,566.629,9301,575.323,March 2015
GUJARAT STATE CO-OP BANK,9889,847.075,21752,4634.614,March 2015
KANGRA CENTRAL CO-OP BANK,12316,549.867,23292,766.561,March 2015
KANGRA CO-OP BANK,1463,251.721,3175,110.677,March 2015
NASIK MERCHANTS CO-OP BANK,10055,801.443,8492,736.787,March 2015
RAJASTHAN STATE CO-OP BANK,652,1188.126,11983,1296.449,March 2015
ROYAL BANK OF SCOTLAND N.V,282305,37424.538,108522,30717.848,March 2015
SAHEBRAO DESHMUKH CO-OP BANK,1540,231.231,3007,183.866,March 2015
VARACHHA CO-OP BANK,2539,266.177,6961,545.591,March 2015
VISHWESHWAR SAHAKARI BANK,3713,639.799,6048,453.956,March 2015
ZOROASTRIAN CO-OP BANK,746,88.548,263,48.609,March 2015
TUMKUR GRAIN MERCHANTS CO-OP BANK,1728,95.191,1197,84.541,March 2015
GADCHIROLI DIST CO-OP BANK,2293,272.015,76795,417.243,March 2015
UCO BANK,389013,38313.405,1268596,56313.291,March 2015
UNION BANK OF INDIA,1343658,93587.347,4347317,179261.097,March 2015
UNITED BANK OF INDIA,791738,30909.965,2137937,42044.408,March 2015
UNITED OVERSEAS BANK,69,452.673,15,1153.656,March 2015
VASAI VIKAS SAHAKARI BANK,1806,120.358,3651,282.898,March 2015
VIJAYA BANK,296627,31852.216,860335,44041.699,March 2015
WEST BENGAL STATE CO-OP BANK,13430,440.737,30626,956.946,March 2015
WESTPAC BANKING CORP,270,22.951,13,75.924,March 2015
WOORI BANK,472,49.090,148,319.066,March 2015
YES BANK,2585916,115982.229,754471,102305.027,March 2015
ZILA SAHKARI BANK GHAZIABAD,471,526.526,2476,761.157,March 2015
ABHYUDAYA CO-OP BANK,26692,1600.327,67777,2846.090,April 2015
ABU DHABI COMMERCIAL BANK,2401,1135.765,657,1151.385,April 2015
AHMEDABAD MERCANTILE CO-OP BANK,3811,292.121,9653,598.242,April 2015
AKOLA DIST CENTRAL CO-OP BANK,2673,121.818,5940,95.218,April 2015
ALLAHABAD BANK,1150471,51339.798,1847366,63436.726,April 2015
ALMORA URBAN CO-OP BANK,7097,307.745,9606,358.536,April 2015
ANDHRA BANK,446293,45914.855,1428105,68858.189,April 2015
ANDHRA PRAGATHI GRAMEENA BANK,14629,1742.210,30807,1087.012,April 2015
ANZ BANKING GROUP,34116,6040.217,1721,3164.589,April 2015
APANA SAHAKARI BANK,4350,309.514,10042,498.482,April 2015
AXIS BANK,6597825,391578.205,3615278,326161.439,April 2015
AKOLA JANATA COMMERCIAL CO-OP BANK,2729,229.406,1524,197.755,April 2015
BANK N PARIBAS,240856,54243.032,93253,62888.301,April 2015
BANK INTERNASIONAL INDONESIA,671,470.769,19,7.274,April 2015
BANK OF AMERICA,447043,45903.733,59167,27412.602,April 2015
BANK OF BAHARIEN AND KUWAIT,34634,1719.645,1179,394.942,April 2015
BANK OF BARODA,1126794,92463.005,3331401,160413.304,April 2015
BANK OF CEYLON,761,60.482,396,86.769,April 2015
BANK OF INDIA,1038872,56954.123,4302520,159135.320,April 2015
BANK OF MAHARASHTRA,423089,47432.534,1434145,55290.264,April 2015
BANK OF NOVA SCOTIA,3805,863.649,836,2764.991,April 2015
BANK OF TOKYO AND MITSUBISHI,23104,3556.020,4022,6369.332,April 2015
BARCLAYS BANK,30968,9718.477,1300,3878.088,April 2015
BASSEIN CATHOLIC CO-OP BANK,5191,393.654,14492,818.653,April 2015
BHARAT CO-OP BANK,26705,2504.601,39832,2806.327,April 2015
BHARATIYA MAHILA BANK,2113,112.112,2114,72.390,April 2015
CANARA BANK,1041277,96162.206,2485341,139856.165,April 2015
CAPITAL LOCAL AREA BANK,4890,339.464,5484,412.628,April 2015
CATHOLIC SYRIAN BANK,58570,3451.185,82157,4497.208,April 2015
CENTRAL BANK OF INDIA,1916599,73076.876,2545758,154148.576,April 2015
CITI BANK,3656741,434650.447,1380466,255505.880,April 2015
CITIZEN CREDIT CO-OP BANK,3505,235.060,8151,627.837,April 2015
CITY UNION BANK,288828,13112.357,254223,13764.370,April 2015
COMMONWEALTH BANK OF AUSTRALIA,510,32.104,98,77.935,April 2015
CORP BANK,750128,50690.627,1126412,92535.634,April 2015
COSMOS CO-OP BANK,41260,4810.902,84032,5715.100,April 2015
CREDIT AGRICOLE CORP AND INVESTMENT BANK,1429,1151.199,284,844.044,April 2015
CREDIT SUISSE AG,68,8.762,7,255.212,April 2015
CTBC BANK CO-OP,134,18.754,112,148.871,April 2015
DCB BANK,191487,5673.862,68215,6320.560,April 2015
DELHI STATE CO-OP OP BANK,714,33.050,1014,45.440,April 2015
DENA BANK,230831,18275.656,632100,33111.131,April 2015
DEUTSCHE BANK,1836996,169781.529,436380,91416.711,April 2015
DEVELOPMENT BANK OF SINGAPORE,190991,53425.504,13240,11561.104,April 2015
DHANLAXMI BANK,131505,5749.841,96867,5664.741,April 2015
DICGC BANK,41,6.885,125,14.664,April 2015
DOHA BANK,163,40.736,91,22.406,April 2015
DOMBIVLI NAGRIK SAHAKARI BANK,5620,702.132,15548,868.795,April 2015
EXPORT IMPORT BANK OF INDIA,1,0.000,14,7.319,April 2015
FEDERAL BANK,840282,47168.425,593834,34856.069,April 2015
FIRSTRAND BANK,22929,1132.890,1940,253.418,April 2015
GOPINATH PATIL PARSIK JAN SAHA BANK,4324,944.934,14846,681.917,April 2015
GREATER BOMBAY CO-OP BANK,4533,352.736,11383,537.865,April 2015
HDFC BANK,9665884,651389.841,6919854,769263.260,April 2015
HSBC BANK,1327135,187228.459,322987,93620.657,April 2015
ICICI BANK,7181639,418545.725,6015324,432251.147,April 2015
IDBI BANK,2564006,121819.532,1591432,162844.142,April 2015
INDIAN BANK,707534,38544.641,1665862,72811.557,April 2015
INDIAN OVERSEAS BANK,1217581,64473.153,1780660,82579.527,April 2015
INDUSIND BANK,797931,68535.163,310869,44727.354,April 2015
INDUSTRIAL AND CO-OP BANK OF CHINA,162,643.053,42,2132.722,April 2015
ING VYSYA BANK,543494,37826.854,440928,47638.433,April 2015
JALGAON JANATA SAHKARI BANK,3607,237.544,3923,366.976,April 2015
JALGAON PEOPLES CO-OP BANK,2276,146.673,2848,279.007,April 2015
JAMMU AND KASHMIR BANK,97386,8961.984,138414,13376.678,April 2015
JANAKALYAN SAHAKARI BANK,4101,338.506,12926,805.904,April 2015
JANATA SAHAKARI BANK,10207,873.719,25212,1686.516,April 2015
JANSEVA SAHAKARI BANK BORIVILI,996,285.790,1325,102.365,April 2015
JANSEVA SAHAKARI BANK PUNE,2944,146.095,6690,328.394,April 2015
JP MORGAN BANK,372135,26577.986,4330,18793.525,April 2015
KALLAPPANNA AWADE IJSB,4049,260.305,3986,369.033,April 2015
KALUPUR COMM CO-OP BANK,6803,502.490,23484,1913.197,April 2015
KALYAN JANATA SAHAKARI BANK,3874,285.756,10085,513.009,April 2015
KAPOLE BANK,988,69.644,4129,355.541,April 2015
KARAD URBAN CO-OP BANK,4123,360.465,6125,1359.466,April 2015
KARNATAKA BANK,177096,9990.607,386494,17832.391,April 2015
KARNATAKA STATE CO-OP APEX BANK,3769,152.449,7658,377.033,April 2015
KARNATAKA VIKAS GRAMEEN BANK,22955,1717.605,54367,1738.897,April 2015
KARUR VYSYA BANK,489864,22768.617,508190,32736.581,April 2015
KOTAK MAHINDRA BANK,1486882,104578.016,871737,113077.165,April 2015
KURMANCHAL NAGAR SAHAKARI BANK,3934,293.815,3538,249.541,April 2015
KERALA GRAMIN BANK,30652,1196.516,91539,2276.400,April 2015
LAKSHMI VILAS BANK,103882,7808.240,125997,11774.928,April 2015
MAHANAGAR CO-OP BANK,4550,348.078,11323,614.293,April 2015
MAHARASHTRA STATE CO-OP BANK,1701,75.202,3968,851.466,April 2015
MASHREQ BANK,351,70.402,34,2.794,April 2015
MEHSANA URBAN CO-OP BANK,8484,1698.057,8189,764.533,April 2015
MIZUHO CORP BANK,6744,4643.243,2024,2548.962,April 2015
MUMBAI DIST CENTRAL CO-OP BANK,2051,74.930,5845,1251.351,April 2015
MUNICIPAL CO-OP BANK,208,90.533,1700,448.143,April 2015
NAGAR URBAN CO-OP BANK,3185,235.327,1599,151.021,April 2015
NAGPUR NAGRIK SAHAKARI BANK,4529,325.398,4074,469.529,April 2015
NAINITAL BANK,12832,962.888,24757,1902.118,April 2015
NATIONAL AUSTRALIA BANK,4,0.045,8,1.020,April 2015
NEW INDIA CO-OP BANK,5048,346.624,12563,596.932,April 2015
NKGSB BANK,12816,1036.610,25556,1420.623,April 2015
NUTAN NAGARIK SAHAKARI BANK,2724,208.349,10860,693.353,April 2015
ORIENTAL BANK OF COMMERCE,489674,41292.765,999614,60649.351,April 2015
PRATHAMA BANK,11772,1802.162,108806,1410.869,April 2015
PRIME CO-OP BANK SURAT,3559,350.275,3003,151.488,April 2015
PUNJAB AND MAHARASHTRA CO-OP BANK,15981,2311.137,44535,1943.713,April 2015
PUNJAB AND SIND BANK,76101,5887.905,222915,11836.302,April 2015
PUNJAB NATIONAL BANK,2356876,108619.270,4600833,235475.450,April 2015
PRAGATHI KRISHNA GRAMIN BANK,31622,2001.639,81961,2867.722,April 2015
RABOBANK INTERNATIONAL,583,1399.372,70,2360.843,April 2015
RAJGURUNAGAR SAHAKARI BANK,1944,113.670,1370,69.729,April 2015
RAJKOT NAGARIK SAHAKARI BANK,2712,197.680,5286,308.998,April 2015
RATNAKAR BANK,114216,8392.898,56945,9808.543,April 2015
RBI PAD,212102,494178.219,6835,25555.779,April 2015
SARASWAT CO-OP BANK,81386,5493.712,157954,11228.263,April 2015
SBER BANK,76,1077.301,16,66.159,April 2015
SEVA VIKAS CO-OP BANK,2477,129.812,3255,383.305,April 2015
SHAMRAO VITHAL CO-OP BANK,49997,3608.292,79045,6064.498,April 2015
SHIKSHAK SAHAKARI BANK,167,209.641,200,121.180,April 2015
SHINHAN BANK,8921,2201.068,2905,3920.614,April 2015
SHRI CHHATRAPATI SHAHU URBAN CO-OP BANK,2101,139.188,946,112.775,April 2015
SOCIETE GENERALE,1521,901.683,389,638.653,April 2015
SOLAPUR JANATA SAHAKARI BANK,1112,1383.994,1332,202.175,April 2015
SOUTH INDIAN BANK,288646,19574.617,415103,19968.362,April 2015
STANDARD CHARTERED BANK,1748332,225257.964,635438,141953.362,April 2015
STATE BANK OF BIKANER AND JAIPUR,579806,27091.400,505177,36659.073,April 2015
STATE BANK OF HYDERABAD,2015396,52135.280,1323702,56306.950,April 2015
STATE BANK OF INDIA,17862349,982616.168,15863098,1146243.038,April 2015
STATE BANK OF MAURITIUS,508,206.486,363,163.832,April 2015
STATE BANK OF MYSORE,358379,22042.600,495849,31070.833,April 2015
STATE BANK OF PATIALA,428419,37463.678,477639,27532.934,April 2015
STATE BANK OF TRAVANCORE,1052965,37366.623,867803,34590.150,April 2015
SUMITOMO MITSUI BANKING CORP,2560,6052.046,137,1565.875,April 2015
SURAT DIST CO-OP BANK,2791,211.178,5617,297.546,April 2015
SURAT PEOPLES CO-OP BANK,3732,343.213,9453,477.067,April 2015
SUTEX CO-OP BANK,1487,107.316,4574,283.638,April 2015
SYNDICATE BANK,661382,65344.130,1507674,68541.485,April 2015
TAMIL NADU STATE APEX CO-OP BANK,15392,687.553,11906,934.777,April 2015
TAMILNADU MERCANTILE BANK,177230,13442.508,232905,13847.597,April 2015
THANE BHARAT SAHAKARI BANK,1714,242.676,5123,313.904,April 2015
THANE DIST CENTRAL CO-OP BANK,6499,948.056,11314,699.915,April 2015
